ID;AAU Navn;Formaal;Delsystemer (komponenter);Leverandør (egenudvikling/ekstern (+ navn på leverandør);Produktnavn;Version (nuværende);Programområde;Programformand;BRM;Systemforvalter (eksisterende);Systemejer;Organisatorisk enhed;Eksisterende styregruppe;Forretningskritisk [Lav/Mellem/Høj];Faste licens og serviceaftaler art: 147148;Tilkøb nye licenser art: 147148;Ekstra service- og supportaftaler art: 147041;Vedligehold art: 147041;Udviklingsmidler art: 147041;I alt;Kommentarer (økonomi);SLA (URL);Backlog (link);Antal brugere;Service (fra Service katalog);Kontrakt;Supportgruppe i SUP;Klient afhængigheder;Eksiserende dokumentation (URL m.m.);Overvågning (er det etableret?);IFS driftspersoner;Hosting;URL;Brugervendt?;T/uge i ITS;T/uge AAU (-ITS);T/uge Ekstern;Bemærkning;Sidst Editeret af ;Dato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;CRM;CRM system til AAU Innovation og SBI;;Microsoft;MS Dynamics CRM;2011;Administration;;;Mikael M. Hansen (ved lidt);;Teknat fak-kontor;Ja;Mellem;;;;;;;Der er visse licens omkostninger. Brugerlicenserne  og en enkelt server licens. Derudover er det udgifter til en connector til NNMarkedsData;;;~20stk;;;;IE som Outlook;;;Kristoffer Stormark;ITS;https://crm.aau.dk;;AIU: 0;;;;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;CTS ;Bygningsstyring som driftes i samarbejde med Schneider Eletric. Dækker hele Aalborg og Esbjerg med undtagelse af Pontoppidanstræde.;;;;;Administration;;;;;TF;;Høj;;;;;;;;;;;;;;;;;KBA;ITS;;;"AIU: 0
IFS: 0,5";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Cumulus;Billeddatabase server til fotos;;;;;Forskning & Formidling;;;;AAU Kommunikation;ITS;;Lav;;;;;;;;;;;;;;;;;CS;ITS;;;"AIU: 0
IFS: 0,2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;data.aau.dk;Et antal REST webservices brugt af andre systemer;Bruges af studieguide/studyguide, stillinger.aau.dk, samt medarbejderlister på hjemmesider i InfoGlue;Egenudvikling;;;ITS (internt);;;;;ITS;;;;;;;;;;;;;;;;;https://secure.aub.aau.dk/wiki/aauportal/index.php/Data.aau.dk (Gammelt og uopdateret?) ;;;;http://data.aau.dk;;AIU: 3;;;;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Digital Eksamen;Opsætning af prøver, Aflevering af besvarelser, karaktergivning;Stads, henter data fra stads. Sender karakterer tilbage til stads. Tjekker for plagiering i Ephorus. Indlogning via NemId for censorer. Integrerer til Pure for upload af rapporter.;Arcanic;DE;;Studieadministrationen;Henrik Brohus;KK;SF - Jesper Bjørn Gorm Poulsen;Lone Vestergård;SF;"projektstyregruppe: Lone Vestergaard; Henrik Brohus; Erling Jensen; Susanne Tjørnelund Meisner; Kirsten Hjerrild Nielsen; Kim Jensen; Lars Bo Larsen; Thøger Kristensen; Jesper Bjørn Gorm Poulsen";Høj;;;;;1.500.000;1.500.000;;;;;https://digitaleksamen.aau.dk/;;;;;;;;https://digitaleksamen.aau.dk/;;AIU: 20;;;Vil blive anvendt af AAU til større antal prøver sommer 2015. Forventes derefter af skulle håndterer alle prøver fremover. ;KHN;02-07-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Digital Signatur;System til håndtering af digitale medarbejdersignaturer;;Signaturgruppen;Signaturcentral;;ITS (internt);;;;;ITS;;Lav;;;;;;;;;;;;;Administrative systemer;;Info til Servicedesk Onenote;;KBA;ITS;;Ja;"AIU: 0
IFS: 0,5";;;;MC;16-02-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;DNS og SSL;"Drift af systemer samt indkøb og konfiguration af DNS-navne og SSL-certikater.

Normalt er det delkomponent til andre systemer (Infoglue, Sharepoint etc), men andre gange bestilles det også direkte.";;;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;IFS: 10;;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;e-boks print ;"Status: Forslag til system - i proces.
Formål er at gøre det muligt at afsende digital post - i dag kan vi kun modtage. Første bruger er forsker på Civil der skal sende spørgeskemaer ud.";;;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Eduser;Mini IDM system til IT;Eduser, EduserWindowsAgent + diverse synkroniserings agenter;Egenudvikling;Custom;4;ITS (internt);;N/A;Mikael M. Hansen;ITS/ Kirsten Hjerrild Nielsen;ITS;Nej;Høj;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ingen;https://jira.srv.aau.dk/jira/browse/EU;~20 stk;http://www.servicekatalog.its.aau.dk/support-og-raadgivning//#personlig-mail-og-kalender-oprettelse;N/A;Tror det ikke;Ingen. Køres fra Unix shell;En smule på https://aausysadm.wiki.ist.aau.dk/index.php/IST_Management_Applications;Nej, tror det ikke;Ved ikke;Vores egen (usermgmt01.ist.aau.dk);N/A;;AIU: 5;;;Forventes at skulle dø/udgå ifm. Introduktionen af IDM, dog skal en enkelt komponent (EduserWindowsAgent) måske genbruges;MMH;20-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Energykey;Dataopsamling fra energisensorer;;;;;Administration;MW;;;TF / Kenneth Hansen;TF;;Lav ;210.000;;;;25.000;235.000;;;;;;;;;;;JNI;ITS;;;"AIU: 0
IFS: 1";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Ephorus;Plagiatkontrol;;;;;Forskning & Formidling;;;;;SF;;;65.000;;;;;65.000;;;;;;;;;;;;;;Nej;AIU: 0;;;Der er træffet aftale om at udskifte Epherus med Urekund. Det forventes vist implementeret i starten af 2016.;;07-07-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;ERAP;Simpelt konferencesystem;;Egenudvikling;;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 2
IFS: 2";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;E-valg;Valg system;Valg portal, Valg Administration, Valg Administration (lokal);DTU (SaaS løsning) + egen udvikling (til udtræk);;;Studieadministrationen;;;Anne Kielgast / Birthe R. Kennedy;;SF;;Mellem;207.000;;;;;207.000;konteres på art 147041 - fast licens;;;~30000;;;;;;;;;"http://aauvalg.aau.dk/afstemning 
";Nej;AIU: 7;;;;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Exam Monitor;Værktøj der annvendes til stedprøver. Optager regelmæssigt den studerendes skærm, og lagres informationen. Benyttes til at sikre at den studerende ikke anvender ulovlige  digitale hjælpemidler;;SDU;Exam Monitor;;Studieadministrationen;;;SF ;Lone Vestergård;;;Lav;;;;;;;;;;;;;;;;;;;;;AIU: ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Feriefond;Holder styr på feriepenge / feriefonden;;Egenudvikling (Helle E);;;Administration;;;Helle Eskildsen;;;;;;;;;;;;;;;;;;;;;PL;;;;AIU: 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
