ID;AAU Navn;Formaal;Delsystemer (komponenter);Leverandør (egenudvikling/ekstern (+ navn på leverandør);Produktnavn;Version (nuværende);Programområde;Programformand;BRM;Systemforvalter (eksisterende);Systemejer;Organisatorisk enhed;Eksisterende styregruppe;Forretningskritisk [Lav/Mellem/Høj];Faste licens og serviceaftaler art: 147148;Tilkøb nye licenser art: 147148;Ekstra service- og supportaftaler art: 147041;Vedligehold art: 147041;Udviklingsmidler art: 147041;I alt;Kommentarer (økonomi);SLA (URL);Backlog (link);Antal brugere;Service (fra Service katalog);Kontrakt;Supportgruppe i SUP;Klient afhængigheder;Eksiserende dokumentation (URL m.m.);Overvågning (er det etableret?);IFS driftspersoner;Hosting;URL;Brugervendt?;T/uge i ITS;T/uge AAU (-ITS);T/uge Ekstern;Bemærkning;Sidst Editeret af ;Dato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;ProjectFlow;Projektstyring;;Flowit;ProjectFlow;;ITS (internt);;;;SOP;ITS;;Lav;;;;;;0;Systemsoftware til projektstyring;;;50;;;;;;;KBA;ITS;https://projekter.its.aau.dk/;Ja;"AIU: 0
IFS: 0,2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Projektbiblioteket;Online publicering af digitale udgaver af afgangsprojekter og specialer fra hele universitetet ;;Elsevier;Pure;4.21.3-4;Forskning & Formidling;;;Anne Marya Greve, AUB;Niels Henrik Gylstorff?;AUB;;;;;;;;;;;;;;;;;;;;;http://www.projekter.aau.dk;;AIU: 0;;;;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Prophix;Budgetering;;;;;Administration;MW;KK;;ØA/Gitte Hartung;ØA;;Høj;417.600;;;467.000;300.000;1.184.600;;;;;;;;;;;KBA, TM;;;Ja;"AIU: 0
IFS: 1";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Qlikview;BI værktøj, ledelsesrapportering;;;;;Administration;MW;KK;Andreas Hyldgaard;ØA / Morten Winterberg;ØA;;;723.287;;;267.000;200.000;1.190.287;;;;;;;;;;;KBA;;;Ja;AIU: 0;;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;Quest;Kalendersynkronisering mellem RN og AAU;;Dell;;;;;;;ITS;;;Lav;;;;;;;;;;;;;;;;;EHN;ITS;;Ja;IFS: 2;;;;HB;17-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;REDcap;"Status: Forslag til system - i proces.
Formål er opbevaring og samarbejde af potentielt fortrolig data til især det sundhedsvidenskabelige område.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: ?";;;Systemet forventes i drift 2016. Der er ikke erfaring med tidsforbrug til drift endnu. ;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Refworks;AIU / Eksternt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;RES;;;;;;Administration;MW;KK;;;ØA;;;;;;;;;;;;;;;;;;;;;;Ja;AIU: 150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;RUS;Rejseafregningssystem;;Acubiz;Acubiz EMS;En gammel udgave;Administration;MW;KK;ØS-IT (Knut Vik);ØA / Morten Winterberg;ØA;;Høj;139.920;;;50.000;50.000;239.920;;;;;;;;;http://www.okonomi.aau.dk/oea-it/rus/;;;SaaS;https://apps1.acubiz.com/asp/aau/ctaau.nsf;Ja;AIU: 0;;;Det er et meget udskældt system,. I efteråret 2013 kørte der en foranalyse ifm. Nyt system. Denne aktivitet er sidenhen sat på pause;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;SAS;;;;;;Administration;;;;;ØA;;;151.840;;;;;151.840;;;;;;;;;;;CS;;;Ja;"AIU: 0
IFS: 0,2";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;ScanPas;HR system;;PBJ;ScanPas HR;10G;Administration;MW;;;Søren Vaagholdt Nielsen;HR;;Høj;;;;250.000;60.000;310.000;;;;;;;;Ja - Java - i passende version - på klienten;;;AM;ITS;http://adm37.adm.aau.dk:7777/forms/frmservlet?config=spap_sunplugin;Nej;"AIU: 2
IFS: ?";;;;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Secureaware;Information security management system (ISMS) til at støtte informationsikkerhedsarbejde v. Henrik Johannes Rask;;;;;;;;;;;;Lav;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 1";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;Server og storage infrastruktur;Drift af servere, storage, virtualisering og backup som infrastruktur til alle ITS hostede services.;;HP, Dell, Cisco, Hitachi, Vmware;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nej;IFS: 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;Service Manager;System til håndtering af incidents og service requests for alle AAU's brugere med backend brug i ITS samt enkelte andre i Fælles Service;;;;;ITS (internt);;;;ITS;;;Mellem;;;;;;;;;;;;;;;;;KST, JNI;ITS;;Ja;"AIU: 0
IFS: 25
SUP:?";;;SUP tidsforbrug er forvaltning ;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Sharepoint;Samarbejdsværktøj, findes i en instanser;;;;;;;;;ITS;;;Høj;;;;;;;;;;;;;;;;;KBA;ITS;;;"AIU: 0
IFS: 10
SUP:0";;;;HB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;SikkerDataAdgang;"Fjernskrivebordsservere til behandling af personfølsomme og andre fortrolige data i en ""sandbox"" hvor output logges. Udviklet for Folkesundhedsvidenskab, HST men kan givetvis også bruges af andre forskningsgrupper.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;SLS;Statens Lønsystem;;Modeniseringsstyrelsen;;;Administration;;;;;ØA;;;2.758.644;;;;;2.758.644;;;;;;;;;;;;;;Nej;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;SMS gateway;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
SUP:0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Sodexo;Kantine Service booking (på hele AAU?);;;;;Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;STADS;Studieadministrativt system;iSTADS, eSTADS, Beviser, Reports;KMD;;;Studieadministrationen;Henrik Brohus;;Pernille Refstrup;Studiechefen/ Lone Vestergård;SF;;Høj;4.009.344;;;;;4.009.344;konteres på art 147041 - men betragtes som fast licens;;https://jira.srv.aau.dk/jira/browse/STADS;;;;;Ja - Java - i passende version - på klienten;;;;ITS;http://adm39.adm.aau.dk:8891/estads.html;;"AIU: 20
IFS: 12
SUP:3";;;Mange henvendelser til SUP omkring login problemer (da man ikke anvender full email adresse);MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Stads Selvbetjening;Selvbetjening for de studerende for egen studieplads;Admin interface og studerendes interface;;;;Studieadministrationen;Henrik Brohus;;Pernille Refstrup;Lone Vestergård;SF;;Høj;;;;;;;;;;;;;;Ja - Java i passende version på klienten;;;;;https://sb.aau.dk/sb-ad/sb/;;AIU: 0;;;;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Stads-Dans;;;;;;Studieadministrationen;Henrik Brohus;;Pernille Refstrup;Lone Vestergård;SF;;Høj;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Stads-VIP;;;;;;Studieadministrationen;Henrik Brohus;;Pernille Refstrup;Lone Vestergård;SF;;Høj;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;STATA;;;;;;;;;;;ITS;;;230.000;;;;;230.000;Ikke system software men CAMPUS licens undervisning og forskning (alle ansatte & studerende);;;;;;;;;;;;;;AIU: ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Stillinger.aau.dk + vacancies.aau.dk;Webvisning af ledige stillinger på AAU;PeopleXS webservice + http://data.aau.dk/rest/vacancies/;PeopleXS + egenudvikling;AAU Stillingsportal;;Administration;;;Webteam + Trine Bovbjerg (HR);HR?;;;;;;;;;;;;https://jira.srv.aau.dk/jira/secure/RapidBoard.jspa?rapidView=54&view=planning&selectedIssue=WEB-10&selectedEpic=WEB-125;Sidevisninger  på stillinger.aau.dk (1/6-14 - 1/6-15): 383048 (heraf 316.318 unikke sidevisninger). Sidevisninger på vacancies.aau.dk (1/6-14 -1/6-15): 185.422 (heraf 151.470 unikke sidevisninger);;;Nej;;https://secure.aub.aau.dk/wiki/aauportal/index.php/Stillingsportal;;Anders Hertz?;;http://www.stillinger.aau.dk + http://www.vacancies.aau.dk/;;AIU: 6;;;Skal omlægges til nyt webdesign og i samme forbindelse lægges ind under aau.dk/en.aau.dk. Kræver tilpasning af InfoGlue komponenter til liste- og stillingsvisninger på websitet. Skal koordineres med HR samt udviklerressourcer i AIU;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Studieguide / studyguide;AAU's online markedsføring af bachelor- og kandidat og uddannelse på dansk og engelsk;Indhold og struktur ligger i InfoGlue. REST service som genererer lister mm. ligger på http://data.aau.dk/rest/programmes;Egenudvikling;;;Forskning & Formidling;;;Camilla Ladegaard Andersen;;;Der er pt en arbejdsgruppe som består at repræsentanter fra ITS, Studieforvaltning, Internationalt Kontor, AAU Kommunikation og fakulteterne;Høj;;;;;;;;;https://jira.srv.aau.dk/jira/secure/RapidBoard.jspa?rapidView=54&view=reporting&chart=epicReport&epic=WEB-126;Backend inddatering: AAU Kommunikation, skoler, studieforvaltning og fakulteter ca 50. Brugere af studieguiden: Sidevisninger (1/6-14-1/6-15) = 3.301.002 (heraf unikke 2.033.322) ~ 66,8 % af alle sidevisninger på aau.dk;;;Nej;;https://jira.srv.aau.dk/confluence/pages/viewpage.action?pageId=9568257;;Anders Hertz;;http://www.studieguide.aau.dk, http://www.studyguide.aau.dk;;"AIU: 5
IFS: ?";;;Procedure for oprettelse og ændring af uddannelser og uddannelsestitler på Studieguide og Studyguide er beskrevet her: http://www.aauhaandbog.aau.dk/faces/viewDocument/6988, http://www.aauhaandbog.aau.dk/faces/viewDocument/7002, http://www.aauhaandbog.aau.dk/faces/viewDocument/6945, http://www.aauhaandbog.aau.dk/faces/viewDocument/6960;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Subversion;Versionskontrol for ansatte og studerende til projekter.;;;;;;;;;;;;;;;;;;;;;;8176;;;;;;;;;;;"AIU: 0
IFS: 2";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;SuperCard;Print af adgangskort ansatte og studerende. ;Kan kun afvikles på windows XP, ingen opgraderinger mulig.;Skal undersøges;;;;;;Karl H. Hedegaard;Administrationen;;;;;;;;;;;;;;;;;;;;;;;;AIU: ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Surveybanken.;System til analyser af indsamlede surveys for Institut for Statskundskab.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;SurveyXact ;spørgeskemaprogram;;Rambøll Management Consulting;SurveyXact ;;;;;?;Niels Henrik Gylstorff?;AUB;;;163.750;;;;45.250;209.000;Udviklingsmidler = kurser;;;Alle med Wayf-login;;;;Explorer,Firefox,Safari,Chrome;Info til Servicedesk Onenote;;;SaaS;http://wayf.survey-xact.dk/;Ja;AIU: ?;;;Opdateret med systemejer efter dialog med Mads Sommer;MMH;14-03-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Sygfra Central;Til administartion af sygefravær/barsel/forældreorlov/refusion;;Egenudviklet;SYGFRA decentral;;Administration;MW;;Helle Eskildsen;HR-afdelingen;;;;;;;;;;;;;100 brugere;;;;;;;;;;;AIU: 5;;;klient - server opsætning;HE;29-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Sygfra Decentral;Til indberetning af sygfravær fra decentrale brugere;;Egenudviklet;SYGFRA central;;Administration;MW;;Helle Eskildsen;HR-afdelingen;;;;;;;;;;;;;3 brugere;;;;;;;;;https://sygfra.aau.dk/sygfra/?TARGET=https%3A%2F%2Fsygfra.aau.dk%3A%2Fsygfra%2F;;AIU: 5;;;;HE;29-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Telefoni;IP og mobiltelefoni for AAU ansatte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
SUP:?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Telefoniformular;;;;;;ITS (internt);;;;;ITS;;;;;;;;;;;;;;;;;;;;;;;AIU: ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Terminalservere;Til administrative systemer for Mac og Linux-brugere og ansatte på Klinisk Institut;;;;;;;;;ITS;;;Mellem;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 2
SUP:0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Tilsynsdatabase;Til at holde styr på eksamentilsyns-medarbejdere. Ejes af TekNat, men bruges også af Hum og Samf. Men kun til nogen studier (deres eksamner);?;Egenudvikling (Lars Nedergaard fra TekNat Fak-kontor);?;?;;;;Lars Nedergaard?;TekNat-Fakultetskontor;TekNat-Fak;;;;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ITS (på auaw.adm.aau.dk);http://tilsyn.aau.dk;;AIU: 0;;;Systemet indeholder ikke CPR på folk;mmh;21-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;TimeLog;Ressourceoverblik;;TL Consulting;TimeLog;;ITS (internt);;;;;ITS;;;54.000;;;;;54.000;Systemsoftware til ressourcestyring i projekter;;;;;;;;;;;SaaS;;Ja;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Timesheet;Administration (godkendelse) af timesedler;;Logistics;Custom;;Administration;MW;;Nej;;ØA;;;;;;25.000;;25.000;;;;;;;;;;;;;;Ja;AIU: 0;;;Thøger ved noget om systemet og projektet søger aktiv at få fundet systemforvalter til systemet.;MMH;20-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Typo3;CMS til hjemmesider (også de som ikke overholder AAU design);;Open-source;Typo3;;Forskning & Formidling;;;Tina Funck;;ITS;;Mellem;;;;;;;;;;;;;;;;;;ITS;Er eksponeret på mange forskellige URL'er (en per website);;AIU: 10;;;;MMH;22-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Tyv;Tyverisikringssystem;;G4S;S25;;Administration;;;;TF/Torben Gregersen;;;Høj;;;;;;;;;;;;;;Kører i øjeblikket på en række virtuelle Windows PC'er i vmware, pga krav om adminstratoradgang for applikationen;;;JNI;ITS;;ja;IFS: 2;;;;HB;17-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;UniStart;System til håndtering af optagelsen;APEX modul ovenpå SATDS m. ehen database;Egenudvikling;UniStart;;Studieadministrationen;Henrik Brohus;;Birthe Riis Kennedy;;SF;;;;;;;;;;;;;;;;;;;GGL;;;Ja;AIU: 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;VBN;forskningsregistrering samt analyseredskaber;STADS view/datawarehousing;Elsevier;Pure;;Forskning & Formidling;;JCB;Nils Tidemann;Niels Henrik Gylstorff?;AUB;;;466.000;;;;278.000;744.000;;;;;;;;;;;;;http://vbn.aau.dk;Ja;"AIU: ?
IFS: ?
SUP: ?";;;Driftes af AUB og ekstern leverandør. Forventes at overgå til ITS og ekstern leverandør i 2016.;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Videokonference;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 2
SUP:50";;;SUP bregnet 1œ person om ugen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Virtuelle maskiner til brugere;Til understøttelse af forskning og undervisning;;;;;;;;;ITS;ITS;;Mellem;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 40";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Visitkort Generator;Til at generere visitkort;;Egenudvikling (Nils Østbjerg);;;ITS (internt);;;Nils Østbjerg;;ITS;;Lav;;;;;;;;;;Potentielt alle ansatte på AAU;;;;;;;NO;;http://www.visitkort.aau.dk/;;"AIU: 0
IFS: 0,5";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;VNC;Grafisk fjernadgang til Linux-baserede applikationer på systemer for HST.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;VPN;Danner sikker forbindelse til AAU for computere og tablets over Internettet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;"AIU: 0
IFS: 5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;WAYF;Identitetsføderation;phpSimpleSAML;WAYF-sekretariatet + open-source + Headnet (konfiguration);;;ITS (internt);;;;;ITS;;;;;;;;;;;;;;;;;;;;;http://www.wayf.dk;;AIU: 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;WBM;Webbetalingmodul;;Egenudvikling;;;ITS (internt);;;;;ITS;;;;;;;;;Mere end 2,5 mio i transaktioner;;;~13000 ;;;;;;;;;;;"AIU: 2
IFS: 2";;;Integration mellem webshops, kortbetalingsudbyder og ØSS;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
